0.655976	1.245242	60.75
1.245242	1.878981	60.75
1.878981	2.245883	60.75
2.245883	2.457129	63.5
2.457129	2.846267	65
2.846267	3.068632	SIL
3.068632	3.424416	65
3.424416	3.735726	63.5
3.735726	4.011458	65
4.013682	4.336111	66.5
4.336111	5.192215	68.5
5.192215	5.525762	SIL
5.525762	6.248447	73
6.248447	6.882186	68.5
6.882186	7.426979	65
7.426979	8.060719	60.75 
8.060719	8.171901	SIL
8.171901	8.616630	68
8.616630	8.738931	SIL
8.738931	8.994650	66
8.994650	9.483852	64.5
9.483852	9.728453	62.5
9.728453	10.573439	60.75
10.573439	10.762449	SIL
