0.000000	0.229276	SIL
0.229276	1.494879	50.0
1.494879	2.017628	53.0
2.017628	2.356956	55.0
2.356956	3.283231	57.0 
3.283231	3.760125	57.0
3.760125	4.099453	50.0
4.099453	4.429610	53.0
4.429610	4.778110	55.0
4.778110	5.841950	57.0
5.841950	6.759053	SIL
6.759053	7.777038	50.0
7.777038	8.208077	53.0
8.208077	8.593261	55.0
8.593261	9.528706	57.0
9.528706	9.923061	SIL
9.923061	10.344928	62.0
10.344928	11.023585	62.0
11.023585	11.372084	62.0
11.372084	11.949860	62.0
11.949860	13.252147	57.0
13.252147	13.839093	SIL
